id,tx_ref,from_account_id,to_account_id,amount,channel,timestamp,is_flagged,tags
1,TX-0000001,1,2,14573.61,Wallet,2025-11-25T10:01:07.097073,True,mule_ring
2,TX-0000002,2,3,12477.35,QR,2025-11-24T11:21:07.097073,True,mule_ring
3,TX-0000003,3,4,12019.41,Wallet,2025-11-25T17:06:07.097073,True,mule_ring
4,TX-0000004,4,5,11803.42,P2P,2025-11-24T07:36:07.097073,True,mule_ring
5,TX-0000005,5,6,9467.48,QR,2025-11-24T22:53:07.097073,True,mule_ring
6,TX-0000006,6,7,14172.45,P2P,2025-11-26T06:51:07.097073,True,mule_ring
7,TX-0000007,7,8,14028.88,Wallet,2025-11-26T19:56:07.097073,True,mule_ring
8,TX-0000008,8,9,8281.18,Bills,2025-11-24T21:34:07.097073,True,mule_ring
9,TX-0000009,9,10,11802.95,Bills,2025-11-24T22:26:07.097073,True,mule_ring
10,TX-0000010,10,1,13988.89,P2P,2025-11-25T10:04:07.097073,True,mule_ring
11,TX-0000011,3,9,4492.55,Bills,2025-11-26T15:01:07.097073,True,mule_layer
12,TX-0000012,1,7,3526.74,Wallet,2025-11-26T05:48:07.097073,True,mule_layer
13,TX-0000013,2,1,4542.18,P2P,2025-11-26T23:11:07.097073,True,mule_layer
14,TX-0000014,8,1,3722.54,Wallet,2025-11-25T11:12:07.097073,True,mule_layer
15,TX-0000015,6,7,4691.22,Bills,2025-11-23T22:48:07.097073,True,mule_layer
16,TX-0000016,9,3,5921.20,P2P,2025-11-24T19:27:07.097073,True,mule_layer
17,TX-0000017,9,7,5173.06,P2P,2025-11-26T00:46:07.097073,True,mule_layer
18,TX-0000018,5,8,6041.00,Bills,2025-11-23T17:42:07.097073,True,mule_layer
19,TX-0000019,4,8,4076.96,Wallet,2025-11-24T21:41:07.097073,True,mule_layer
20,TX-0000020,1,7,5689.54,Wallet,2025-11-26T18:30:07.097073,True,mule_layer
21,TX-0000021,11,12,5672.91,P2P,2025-11-24T10:18:07.097073,True,mule_ring
22,TX-0000022,12,13,10977.85,P2P,2025-11-24T17:11:07.097073,True,mule_ring
23,TX-0000023,13,14,12405.41,Bills,2025-11-25T17:33:07.097073,True,mule_ring
24,TX-0000024,14,15,10397.60,Wallet,2025-11-26T08:21:07.097073,True,mule_ring
25,TX-0000025,15,16,14934.83,QR,2025-11-26T05:50:07.097073,True,mule_ring
26,TX-0000026,16,17,10979.18,QR,2025-11-24T17:27:07.097073,True,mule_ring
27,TX-0000027,17,18,8017.64,Wallet,2025-11-26T11:26:07.097073,True,mule_ring
28,TX-0000028,18,19,8005.01,Wallet,2025-11-26T10:58:07.097073,True,mule_ring
29,TX-0000029,19,20,10558.51,QR,2025-11-26T12:32:07.097073,True,mule_ring
30,TX-0000030,20,11,12858.05,Bills,2025-11-25T11:36:07.097073,True,mule_ring
31,TX-0000031,13,15,4258.76,Wallet,2025-11-23T17:51:07.097073,True,mule_layer
32,TX-0000032,15,13,6834.66,Bills,2025-11-26T11:19:07.097073,True,mule_layer
33,TX-0000033,13,17,3457.15,QR,2025-11-25T22:51:07.097073,True,mule_layer
34,TX-0000034,18,16,2554.78,P2P,2025-11-25T16:23:07.097073,True,mule_layer
35,TX-0000035,17,20,5617.53,Wallet,2025-11-26T06:28:07.097073,True,mule_layer
36,TX-0000036,14,18,3253.33,QR,2025-11-25T01:01:07.097073,True,mule_layer
37,TX-0000037,12,18,7486.65,Bills,2025-11-25T17:22:07.097073,True,mule_layer
38,TX-0000038,19,16,6653.08,Bills,2025-11-23T07:20:07.097073,True,mule_layer
39,TX-0000039,21,22,11487.21,QR,2025-11-25T13:16:07.097073,True,mule_ring
40,TX-0000040,22,23,10128.17,Bills,2025-11-25T22:11:07.097073,True,mule_ring
41,TX-0000041,23,24,13028.17,Bills,2025-11-24T14:37:07.097073,True,mule_ring
42,TX-0000042,24,25,14143.30,QR,2025-11-25T11:25:07.097073,True,mule_ring
43,TX-0000043,25,26,5457.15,Wallet,2025-11-27T00:59:07.097073,True,mule_ring
44,TX-0000044,26,27,7607.74,Bills,2025-11-24T15:28:07.097073,True,mule_ring
45,TX-0000045,27,28,6524.11,Wallet,2025-11-25T12:35:07.097073,True,mule_ring
46,TX-0000046,28,29,10697.90,Bills,2025-11-26T06:45:07.097073,True,mule_ring
47,TX-0000047,29,30,11546.08,QR,2025-11-24T16:45:07.097073,True,mule_ring
48,TX-0000048,30,21,12633.61,Bills,2025-11-25T09:49:07.097073,True,mule_ring
49,TX-0000049,23,26,3015.59,Wallet,2025-11-23T07:02:07.097073,True,mule_layer
50,TX-0000050,21,29,2202.94,P2P,2025-11-27T01:19:07.097073,True,mule_layer
51,TX-0000051,27,23,7055.27,P2P,2025-11-25T20:23:07.097073,True,mule_layer
52,TX-0000052,21,24,5034.40,P2P,2025-11-24T09:03:07.097073,True,mule_layer
53,TX-0000053,28,21,2039.67,P2P,2025-11-24T00:58:07.097073,True,mule_layer
54,TX-0000054,29,25,5214.43,P2P,2025-11-24T08:24:07.097073,True,mule_layer
55,TX-0000055,27,23,2642.10,Wallet,2025-11-26T17:19:07.097073,True,mule_layer
56,TX-0000056,24,30,5158.74,QR,2025-11-24T12:00:07.097073,True,mule_layer
57,TX-0000057,22,26,7755.79,Wallet,2025-11-23T17:50:07.097073,True,mule_layer
58,TX-0000058,25,22,5922.41,P2P,2025-11-26T11:42:07.097073,True,mule_layer
59,TX-0000059,31,32,8792.64,Bills,2025-11-24T23:38:07.097073,True,mule_ring
60,TX-0000060,32,33,11367.48,Wallet,2025-11-24T22:43:07.097073,True,mule_ring
61,TX-0000061,33,34,9998.58,QR,2025-11-25T06:14:07.097073,True,mule_ring
62,TX-0000062,34,35,14773.29,P2P,2025-11-26T17:42:07.097073,True,mule_ring
63,TX-0000063,35,36,7114.17,Bills,2025-11-24T16:17:07.097073,True,mule_ring
64,TX-0000064,36,37,5465.62,QR,2025-11-26T07:00:07.097073,True,mule_ring
65,TX-0000065,37,38,10635.10,Wallet,2025-11-26T14:48:07.097073,True,mule_ring
66,TX-0000066,38,39,5156.58,Wallet,2025-11-26T11:57:07.097073,True,mule_ring
67,TX-0000067,39,40,14288.75,Wallet,2025-11-25T06:18:07.097073,True,mule_ring
68,TX-0000068,40,31,7404.72,QR,2025-11-25T12:26:07.097073,True,mule_ring
69,TX-0000069,33,32,5004.76,P2P,2025-11-24T22:12:07.097073,True,mule_layer
70,TX-0000070,37,34,7032.05,Bills,2025-11-24T14:24:07.097073,True,mule_layer
71,TX-0000071,31,35,6701.29,Bills,2025-11-23T17:45:07.097073,True,mule_layer
72,TX-0000072,36,39,7646.86,Wallet,2025-11-23T05:33:07.097073,True,mule_layer
73,TX-0000073,37,32,6633.00,Wallet,2025-11-24T23:02:07.097073,True,mule_layer
74,TX-0000074,32,35,2925.33,Bills,2025-11-25T14:44:07.097073,True,mule_layer
75,TX-0000075,36,32,2549.12,Bills,2025-11-24T13:15:07.097073,True,mule_layer
76,TX-0000076,35,32,2795.04,Bills,2025-11-25T10:13:07.097073,True,mule_layer
77,TX-0000077,39,37,2619.76,QR,2025-11-26T06:37:07.097073,True,mule_layer
78,TX-0000078,41,42,5930.64,QR,2025-11-24T12:24:07.097073,True,mule_ring
79,TX-0000079,42,43,5123.41,Bills,2025-11-25T22:39:07.097073,True,mule_ring
80,TX-0000080,43,44,12248.44,Wallet,2025-11-24T06:01:07.097073,True,mule_ring
81,TX-0000081,44,45,10211.05,Bills,2025-11-24T19:45:07.097073,True,mule_ring
82,TX-0000082,45,46,6388.40,QR,2025-11-25T08:43:07.097073,True,mule_ring
83,TX-0000083,46,47,6459.35,Bills,2025-11-26T16:07:07.097073,True,mule_ring
84,TX-0000084,47,48,9211.02,P2P,2025-11-25T13:13:07.097073,True,mule_ring
85,TX-0000085,48,49,7517.00,Bills,2025-11-26T18:52:07.097073,True,mule_ring
86,TX-0000086,49,50,9578.62,QR,2025-11-27T01:19:07.097073,True,mule_ring
87,TX-0000087,50,41,14488.23,Bills,2025-11-25T14:18:07.097073,True,mule_ring
88,TX-0000088,48,46,4583.70,QR,2025-11-25T14:36:07.097073,True,mule_layer
89,TX-0000089,50,44,4874.06,Bills,2025-11-25T14:39:07.097073,True,mule_layer
90,TX-0000090,45,48,7806.58,QR,2025-11-25T12:42:07.097073,True,mule_layer
91,TX-0000091,45,47,4190.09,Wallet,2025-11-25T06:46:07.097073,True,mule_layer
92,TX-0000092,41,48,7657.85,Bills,2025-11-25T15:36:07.097073,True,mule_layer
93,TX-0000093,42,47,6037.87,QR,2025-11-25T17:17:07.097073,True,mule_layer
94,TX-0000094,45,43,6291.42,P2P,2025-11-23T10:13:07.097073,True,mule_layer
95,TX-0000095,50,48,5493.46,P2P,2025-11-23T13:16:07.097073,True,mule_layer
96,TX-0000096,49,50,5829.08,P2P,2025-11-26T17:04:07.097073,True,mule_layer
97,TX-0000097,46,43,5882.00,Bills,2025-11-26T14:13:07.097073,True,mule_layer
98,TX-0000098,51,52,14657.17,P2P,2025-11-26T01:11:07.097073,True,mule_ring
99,TX-0000099,52,53,5986.07,Wallet,2025-11-26T10:20:07.097073,True,mule_ring
100,TX-0000100,53,54,8741.20,Wallet,2025-11-25T13:46:07.097073,True,mule_ring
101,TX-0000101,54,55,14977.03,P2P,2025-11-25T15:27:07.097073,True,mule_ring
102,TX-0000102,55,56,9159.75,P2P,2025-11-26T20:42:07.097073,True,mule_ring
103,TX-0000103,56,57,8483.29,Bills,2025-11-25T18:29:07.097073,True,mule_ring
104,TX-0000104,57,58,10211.15,Bills,2025-11-25T22:13:07.097073,True,mule_ring
105,TX-0000105,58,59,9381.66,Bills,2025-11-24T14:39:07.097073,True,mule_ring
106,TX-0000106,59,60,5671.74,P2P,2025-11-27T00:46:07.097073,True,mule_ring
107,TX-0000107,60,51,13491.80,P2P,2025-11-24T19:56:07.097073,True,mule_ring
108,TX-0000108,54,59,3046.72,QR,2025-11-25T06:26:07.097073,True,mule_layer
109,TX-0000109,57,58,3391.13,Wallet,2025-11-23T19:11:07.097073,True,mule_layer
110,TX-0000110,51,60,7298.58,Bills,2025-11-23T12:16:07.097073,True,mule_layer
111,TX-0000111,51,54,3234.71,P2P,2025-11-26T07:13:07.097073,True,mule_layer
112,TX-0000112,53,56,3955.91,P2P,2025-11-23T16:35:07.097073,True,mule_layer
113,TX-0000113,58,59,7795.50,Bills,2025-11-24T12:09:07.097073,True,mule_layer
114,TX-0000114,60,52,4087.55,Wallet,2025-11-23T15:23:07.097073,True,mule_layer
115,TX-0000115,52,53,3879.11,QR,2025-11-25T21:33:07.097073,True,mule_layer
116,TX-0000116,61,62,6830.45,Wallet,2025-11-24T08:06:07.097073,True,mule_ring
117,TX-0000117,62,63,8884.63,Wallet,2025-11-24T05:55:07.097073,True,mule_ring
118,TX-0000118,63,64,8837.10,Bills,2025-11-26T07:12:07.097073,True,mule_ring
119,TX-0000119,64,65,11934.33,Wallet,2025-11-24T06:36:07.097073,True,mule_ring
120,TX-0000120,65,66,6668.66,Wallet,2025-11-25T19:09:07.097073,True,mule_ring
121,TX-0000121,66,67,8145.80,P2P,2025-11-25T13:17:07.097073,True,mule_ring
122,TX-0000122,67,68,14518.42,Wallet,2025-11-25T18:53:07.097073,True,mule_ring
123,TX-0000123,68,69,13152.16,Bills,2025-11-24T11:35:07.097073,True,mule_ring
124,TX-0000124,69,70,11846.97,Bills,2025-11-25T08:52:07.097073,True,mule_ring
125,TX-0000125,70,61,6672.53,P2P,2025-11-24T18:01:07.097073,True,mule_ring
126,TX-0000126,65,61,3649.12,Wallet,2025-11-24T09:56:07.097073,True,mule_layer
127,TX-0000127,70,68,5298.36,P2P,2025-11-26T16:24:07.097073,True,mule_layer
128,TX-0000128,69,66,5252.26,Bills,2025-11-26T06:54:07.097073,True,mule_layer
129,TX-0000129,64,67,2614.50,QR,2025-11-26T00:26:07.097073,True,mule_layer
130,TX-0000130,68,65,4091.46,Bills,2025-11-26T21:32:07.097073,True,mule_layer
131,TX-0000131,70,66,7166.29,Wallet,2025-11-23T20:47:07.097073,True,mule_layer
132,TX-0000132,61,70,4104.89,Wallet,2025-11-24T14:30:07.097073,True,mule_layer
133,TX-0000133,71,72,10727.36,P2P,2025-11-24T20:55:07.097073,True,mule_ring
134,TX-0000134,72,73,14627.72,P2P,2025-11-25T16:05:07.097073,True,mule_ring
135,TX-0000135,73,74,13670.48,Wallet,2025-11-26T17:01:07.097073,True,mule_ring
136,TX-0000136,74,75,6462.43,Wallet,2025-11-25T12:08:07.097073,True,mule_ring
137,TX-0000137,75,76,9894.59,QR,2025-11-24T11:24:07.097073,True,mule_ring
138,TX-0000138,76,77,8751.72,P2P,2025-11-26T11:47:07.097073,True,mule_ring
139,TX-0000139,77,78,10156.13,QR,2025-11-25T10:01:07.097073,True,mule_ring
140,TX-0000140,78,79,14502.54,P2P,2025-11-25T22:22:07.097073,True,mule_ring
141,TX-0000141,79,80,12309.32,QR,2025-11-25T23:23:07.097073,True,mule_ring
142,TX-0000142,80,71,12956.78,Wallet,2025-11-25T10:53:07.097073,True,mule_ring
143,TX-0000143,74,78,3611.22,QR,2025-11-24T06:52:07.097073,True,mule_layer
144,TX-0000144,80,73,5396.85,QR,2025-11-23T23:53:07.097073,True,mule_layer
